"SNP_model","predictor","grid","coordinate_1","coordinate_2","coordinate_1_raw","coordinate_2_raw"
"rs929708","male",0.191919191919192,0.0161705548060665,-0.0105110783492735,0.0163676031206604,-0.0108533716325442
"rs929708","male",0.202020202020202,0.0225109072522709,-0.0100590231079336,0.0227538636091851,-0.0104524166062932
"rs929708","male",0.212121212121212,0.0249980168767688,-0.00918582699315799,0.0248716966368776,-0.00866323109191227
"rs929708","male",0.222222222222222,0.0245508254706931,-0.00783124231278825,0.0244614031098596,-0.00816805310332093
"rs929708","male",0.232323232323232,0.0247344218915514,-0.0129434056310602,0.0247246630968031,-0.012787189378431
"rs929708","male",0.242424242424242,0.024702823155629,-0.0150348538495766,0.024805517745012,-0.0147774523751635
"rs929708","male",0.252525252525253,0.0226936988994388,-0.00696874840684519,0.0225196356586216,-0.00793008095502644
"rs929708","male",0.262626262626263,0.0184279911311495,-0.00422307462164182,0.0185939645436595,-0.00297147153081182
"rs929708","male",0.272727272727273,0.0110145076108715,-0.0047249623733224,0.0111298852545344,-0.00535304164140233
"rs929708","male",0.282828282828283,0.000480132490741802,-0.00246631420363276,0.000399419191225187,-0.00264596717901209
"rs929708","male",0.292929292929293,-0.00842746201195678,-0.000449655473998401,-0.0085190246610095,-1.0402674114267e-05
"rs929708","male",0.303030303030303,-0.0110019072846481,-0.00154916515462292,-0.0110343028683518,-0.00197559981766369
"rs929708","male",0.313131313131313,-0.00761277494691582,-0.00106163986267086,-0.0075961534154558,-0.000578705744931852
"rs929708","male",0.323232323232323,-0.000610888232091273,0.000310621754723285,-0.00074085365667199,-0.000228042085361688
"rs929708","male",0.333333333333333,0.00756752903545213,0.00042411713660537,0.00779186668290439,0.000852355809218907
"rs929708","male",0.343434343434343,0.014904401659927,-0.00084296780714554,0.014763370679837,-0.000805408902505934
"rs929708","male",0.353535353535354,0.0190443976761983,-0.00318029406696086,0.018993501226908,-0.00395029034083497
"rs929708","male",0.363636363636364,0.0169908122646335,-0.00569740951878281,0.0173396637021563,-0.0045836756923965
"rs929708","male",0.373737373737374,0.00980835808501914,-0.00408437431031515,0.00978985848525779,-0.00460437024687203
"rs929708","male",0.383838383838384,0.000816843135268685,0.00284237018201704,0.000373138728414238,0.00229141491468606
"rs929708","male",0.393939393939394,-0.00427367601286493,0.00359070872753933,-0.00403696189387485,0.00442424649553484
"rs929708","male",0.404040404040404,-0.00713153579199629,-0.00404061309213411,-0.00693342300998905,-0.00388507804964651
"rs929708","male",0.414141414141414,-0.0105041224756291,-0.0177768880682064,-0.0108320149137833,-0.0188306347220198
"rs929708","male",0.424242424242424,-0.0129473362098072,-0.0307299937107237,-0.0127058941691902,-0.030297320490071
"rs929708","male",0.434343434343434,-0.0116271567684515,-0.032434673213239,-0.011659209956536,-0.0312405954897344
"rs929708","male",0.444444444444444,-0.00368253559846494,-0.0113761993139396,-0.00379549675858718,-0.0135035547268821
"rs929708","male",0.454545454545455,0.00872495655744546,0.0118013296273852,0.00814207019938494,0.0134120190335361
"rs929708","male",0.464646464646465,0.0217061425074544,0.0153947473349786,0.0227325574524016,0.0148312652089357
"rs929708","male",0.474747474747475,0.0298260873993266,0.00804722198701863,0.0293930509456619,0.00788366119341183
"rs929708","male",0.484848484848485,0.0287652277635368,0.00370481598553013,0.028601613017652,0.00438817089010336
"rs929708","male",0.494949494949495,0.0207017826959361,0.00530293145907362,0.0214424191288607,0.00446273282497826
"rs929708","male",0.505050505050505,0.0112779395866947,0.00598967028690538,0.0104322678770554,0.0060964637249083
"rs929708","male",0.515151515151515,0.00558911951658383,0.00114896927443429,0.00600748379445475,0.002369918323477
"rs929708","male",0.525252525252525,0.00387593221573073,-0.000244040820037209,0.00365029503489733,-0.00198974814995057
