"ID","alpha","alpha_se","beta","beta_se","p.joint","fdr_value"
"Mediator104",0.17347933302285,0.125417264541777,0.087688412596141,0.15798920160619,0.578875586615016,0.903963179130389
"Mediator429",0.208352560729811,0.122528905841202,0.076055723311882,0.145340619535129,0.600770397867911,0.903963179130389
"Mediator80",0.169852206742988,0.127284625314478,0.0794193145610828,0.155795611804046,0.610215368984489,0.903963179130389
"Mediator424",0.20983266801799,0.122546916155657,0.0465845954993892,0.145821997910632,0.749376158798327,0.903963179130389
"Mediator100",0.176962223385835,0.126564488471899,0.0276354311206832,0.15799393221707,0.861146809288191,0.903963179130389
"Mediator99",0.178170704419339,0.126973225238463,0.0214118348241606,0.157976203576589,0.892186240814771,0.903963179130389
"Mediator94",0.185779890794141,0.129810672324423,-0.0175477833978941,0.157762243632183,0.911434520400434,0.903963179130389
"Mediator436",0.2062077599466,0.122503693840338,-0.0158163144297755,0.145462454041824,0.913415655020273,0.903963179130389
"Mediator95",0.184285970121819,0.129197165820504,-0.015562278628409,0.157778230444521,0.921428970935831,0.903963179130389
"Mediator432",0.207441953746752,0.122518081725879,0.013701724743295,0.145158158214457,0.924798011979954,0.903963179130389
"Mediator448",0.202439583284674,0.122467691859993,-0.00707573738338949,0.144573987395046,0.960965532714307,0.903963179130389
"Mediator88",0.183447058865561,0.130072476804312,-0.00705582229453908,0.157023870269747,0.96415934907547,0.903963179130389
"Mediator428",0.208653372022164,0.12253250147703,-0.00494191592360956,0.145476624451966,0.972900662359969,0.903963179130389
"Mediator85",0.17904674532064,0.129198561481902,-0.00497364492783312,0.152887071337639,0.974048200297108,0.903963179130389
"Mediator988",0.181264007090452,0.123180731391096,-0.00482208024746731,0.148779613321572,0.974144375054372,0.903963179130389
"Mediator81",0.171894776196515,0.127713220423716,-0.00475084984624781,0.156049865138344,0.975712607922141,0.903963179130389
"Mediator84",0.177459696489666,0.12887967578024,-0.00430899713332969,0.152860415799521,0.977511332869441,0.903963179130389
"Mediator87",0.181995066167729,0.129781150499983,-0.00413481685646535,0.156979923766867,0.978986325039971,0.903963179130389
"Mediator83",0.175738601336789,0.128524542514837,-0.00398294283227003,0.152510209699289,0.979164887455556,0.903963179130389
"Mediator437",0.205896499986589,0.122500320976518,-0.00331036192276513,0.145263441242525,0.981818838586059,0.903963179130389
"Mediator89",0.184870822614305,0.13035860638513,-0.00245938428316356,0.157185514099259,0.987516504318118,0.903963179130389
"Mediator86",0.180540174664624,0.129493365992806,-0.00222572800230435,0.156737418706049,0.988670131600952,0.903963179130389
"Mediator108",0.17152518917922,0.124761280384581,0.000842890174097945,0.156706934523476,0.99570838511017,0.903963179130389
"Mediator82",0.173874196600013,0.128132149114848,-0.000726478488285726,0.156135236421104,0.99628755243618,0.903963179130389
"Mediator97",0.181030719571386,0.127975210015729,-0.000660008429322345,0.158103861284889,0.996669221093208,0.903963179130389
"Mediator444",0.203700035482126,0.122478703069237,0.00050339743388608,0.144648640700495,0.997223256107072,0.903963179130389
"Mediator103",0.174174803924844,0.125644795397609,0.000435539418528217,0.158028802057756,0.997800972144351,0.903963179130389
"Mediator433",0.207135787647912,0.122514552411567,-0.000396163162487507,0.145114193861915,0.997821770084243,0.903963179130389
"Mediator98",0.179521676262415,0.127440514935454,-0.000286323456169156,0.157949558294382,0.998553633562377,0.903963179130389
"Mediator443",0.204015670670399,0.122481593520297,-0.000161229316744757,0.144970618925929,0.999112631531732,0.903963179130389
"Mediator79",0.167807793897425,0.126865081913411,-5.62147503296734e-05,0.153448106565376,0.999707700007657,0.903963179130389
"Mediator442",0.204331149928605,0.122484589331332,-2.93934281452473e-05,0.144824118943276,0.999838061764047,0.903963179130389
